x,y
789292,6888670
782296,6884209
789516,6881076
785960,6888258
788650,6885958
781764,6889700
781494,6889864
781513,6889658
781555,6889727
781474,6889540
781498,6889637
781489,6889792
781317,6889725
781301,6889771
781266,6889549
789414,6888933
789284,6888693
789463,6888802
789284,6888738
781242,6889539
781480,6889523
781356,6889292
781263,6889023
781421,6889464
789300,6888624
789388,6888481
789292,6888649
789381,6888569
789521,6888440
789593,6888445
789420,6888575
789331,6888444
789528,6888538
789376,6888600
789336,6888417
789313,6888532
789331,6888469
789312,6888558
789321,6888486
787210,6887988
789299,6888585
789409,6888650
780496,6888621
780669,6888605
780316,6888301
780296,6888096
780535,6888382
780166,6888054
780571,6888602
780297,6888292
780066,6887957
780627,6888539
780160,6888092
785834,6887077
785788,6887068
785938,6887201
785974,6887102
785857,6887205
785881,6887270
783463,6887278
783244,6887340
783407,6887213
783694,6887590
783792,6887453
783273,6887326
783661,6887598
783678,6887594
783273,6887339
783502,6887202
785876,6886861
785658,6886865
785779,6886993
785716,6886876
785915,6886563
786130,6886571
786070,6886739
785970,6886590
785727,6886851
785716,6886842
786000,6886821
785977,6887026
785979,6886841
785820,6886979
785718,6887047
785799,6886986
785966,6887039
786111,6886550
786049,6887001
785965,6886721
785903,6886528
785924,6886591
785976,6886571
785408,6886963
785521,6886932
785517,6886909
784443,6886801
784170,6886607
784116,6886653
784436,6886789
784423,6886796
783984,6886797
788033,6885725
788158,6885676
788207,6885892
787983,6885736
788129,6885710
788140,6885675
788001,6885868
787953,6885896
787770,6885862
787921,6885869
787879,6885900
787934,6885816
786478,6883885
786857,6884050
787021,6884071
786478,6883845
786454,6883853
786454,6883787
786507,6883871
786340,6883778
786428,6883808
786439,6883829
786513,6883947
786800,6883909
786541,6883930
786589,6883903
786532,6883909
782237,6884253
782312,6884306
782305,6884285
782269,6884235
782254,6884258
786492,6883906
786504,6883833
786500,6883923
782152,6883896
782259,6884197
782280,6884295
782276,6884266
782239,6884287
782279,6884200
782258,6884294
782240,6884195
782303,6884263
782297,6884243
782250,6884229
782210,6884219
782176,6884173
782177,6884268
782155,6884165
782221,6884281
782199,6884274
782196,6884178
781563,6884139
782149,6884199
781542,6884112
782170,6884205
782218,6884251
781594,6884175
781579,6884164
781501,6884111
782219,6884186
781569,6884153
782228,6884221
782199,6884240
782164,6884264
781533,6884072
782167,6884224
781486,6884124
781514,6884092
782163,6884244
781326,6884019
781397,6883946
781956,6884114
782126,6884158
782179,6884005
781312,6884052
781347,6884046
781333,6884006
781339,6883987
786347,6883571
786358,6883613
786407,6883612
786453,6883671
786537,6883338
786437,6883693
786408,6883584
786390,6883267
786417,6883701
786505,6883325
786396,6883595
786317,6883349
786443,6883628
786442,6883682
786614,6883751
786564,6883697
786510,6883740
786294,6883341
785971,6883254
786287,6883703
786103,6883362
786053,6883219
786039,6883316
782370,6883548
782253,6883667
782393,6883542
782332,6883610
782392,6883623
782304,6883647
782422,6883524
781596,6883695
781910,6883600
781829,6883393
781710,6883799
782052,6883645
781545,6883545
782154,6883772
781699,6883179
781650,6883466
781626,6883520
780698,6883065
788260,6882314
788330,6882581
788288,6882386
788142,6882348
788305,6882332
788364,6882415
788402,6882340
788244,6882671
788285,6882548
788157,6882680
788196,6882693
788177,6882668
788212,6882683
788226,6882339
788174,6882705
788241,6882639
788211,6882326
788199,6882655
788650,6882398
788245,6882351
788225,6882525
788220,6882557
786606,6882904
788318,6882340
788233,6882538
788168,6882365
788260,6882625
788220,6882647
781200,6882895
781775,6882930
781762,6882905
780154,6882777
780402,6882576
789826,6881667
784876,6881840
785400,6881965
786772,6881385
784012,6881951
789970,6881044
789943,6881059
789901,6880995
789945,6881035
786951,6881125
789509,6881122
789500,6881097
789919,6880997
785198,6880507
782187,6880570
782876,6880615
782870,6880598
789916,6880234
785232,6880495
785215,6880456
785198,6880406
782857,6880439
782636,6880330
782559,6880097
782358,6880065
782824,6880321
782918,6880472
782631,6880062
782926,6880443
782451,6880038
782478,6880099
780199,6880531
781592,6880432
782142,6880118
782202,6880091
782510,6880337
781810,6880851
781576,6880434
784710,6881383
781717,6883084
781745,6883074
780572,6882648
786792,6883893
786522,6883346
784034,6886829
780240,6886488
784240,6889961
784524,6888884
785831,6887010
787167,6888014
788231,6885787
781051,6880982
780203,6880537
782198,6880107
782587,6880169
782087,6880067
782555,6880054
782667,6880359
782214,6880112
782583,6880238
782901,6880125
782942,6880426
782528,6880300
782844,6880032
782070,6880106
782434,6880607
782898,6880079
782568,6880066
782554,6880115
782997,6880268
782414,6880208
782899,6880217
782472,6880539
782738,6880235
782862,6880446
782871,6880236
782460,6880339
782049,6880093
782905,6880009
782483,6880341
782855,6880608
782094,6880101
782883,6880189
782458,6880225
782291,6880088
782400,6880441
782986,6880266
782243,6880608
782374,6880124
782195,6880560
782588,6880523
783051,6880296
782927,6880102
782617,6880245
782084,6880094
782584,6880029
782513,6880382
782603,6880102
782566,6880079
782305,6880177
782252,6880059
785164,6880467
782241,6880111
782355,6880180
785115,6880330
781132,6882975
781640,6883077
786263,6883160
786273,6883197
786155,6883217
788224,6882301
788493,6882446
788368,6882246
788110,6882484
788494,6882400
788318,6882453
788210,6882282
788366,6882428
788357,6882260
788510,6882808
788478,6882345
781501,6883742
781116,6883404
781224,6883452
781170,6883426
781477,6883223
781471,6883974
781873,6883639
781486,6883604
782129,6883574
781262,6883450
781758,6883649
781824,6883730
781715,6883811
781584,6883905
782250,6883561
781632,6883780
781706,6883948
781661,6883310
782131,6883602
781853,6883558
781619,6883785
782374,6883515
781798,6883786
782303,6883538
781726,6883808
781844,6883740
781965,6883694
782113,6883603
782367,6883481
781856,6883577
782092,6883776
781555,6883967
781811,6883962
781609,6883876
781565,6883930
781555,6883934
781675,6883784
781675,6883973
781713,6883720
781692,6883799
781983,6883602
782106,6883648
781577,6883799
781604,6883808
781610,6883908
781619,6883767
781891,6883665
781910,6883798
782089,6883529
782138,6883619
782319,6883554
781859,6883705
786231,6883463
782131,6883653
786367,6883385
782065,6883614
786640,6883913
781560,6883584
786349,6883393
786511,6883878
786643,6883964
786562,6883988
786531,6884010
786309,6883582
786504,6884065
786533,6884044
786317,6883306
786028,6883308
786358,6883244
786808,6883932
786072,6883568
786590,6884004
786093,6883533
786471,6883825
786580,6883975
786172,6883444
786561,6884024
786375,6883771
786107,6883530
786356,6883206
786270,6883722
786624,6883980
786295,6883282
786339,6883735
786218,6883433
786238,6883379
786259,6883282
788647,6885981
788214,6885905
788291,6885880
780115,6887979
780172,6887968
780130,6887996
783569,6887173
784024,6887317
784040,6887212
783524,6887194
783524,6887220
783955,6887319
783951,6887099
783982,6887077
783533,6886960
783569,6887250
783740,6886692
784139,6887129
783970,6887073
783766,6887272
783639,6887153
783538,6887193
783551,6887138
784005,6887311
784110,6886643
783814,6887425
783744,6886744
784033,6887297
784011,6887354
783545,6886982
783770,6887300
785893,6886597
783780,6887337
785895,6886620
785932,6886616
785463,6887417
785935,6887054
785950,6886607
781350,6889680
781505,6889382
780391,6888594
780572,6888505
780396,6888570
781328,6889672
781355,6889695
781546,6889337
789407,6888622
789726,6888518
789594,6888676
789358,6888849
789323,6888704
789696,6888591
789324,6888752
789597,6888733
789358,6888761
789349,6888596
789693,6888610
789340,6888579
789312,6888513
789693,6888468
783722,6887169
781359,6889562
781595,6889632
781947,6888682
780446,6888487
785392,6887241
784126,6887180
784259,6887071
783639,6887092
786053,6886846
786077,6886651
784276,6886998
786536,6883879
786084,6883604
781566,6883562
781835,6883539
781843,6883695
782888,6880383
782806,6880251
782445,6880071
785761,6886868
785519,6887069
788941,6889578
788848,6889982
787181,6889923
786544,6889839
781545,6889548
781536,6889754
781515,6889728
781530,6889905
781557,6889801
781515,6889688
781514,6889552
781680,6889923
781591,6889847
781593,6889757
781513,6889621
781511,6889836
781520,6889816
781669,6889608
781486,6889660
781627,6889685
781646,6889591
781496,6889612
781598,6889827
781547,6889610
781557,6889569
781643,6889660
781541,6889577
781693,6889910
781503,6889594
781550,6889589
781562,6889587
781478,6889722
781722,6889671
781506,6889772
781571,6889847
781558,6889898
781670,6889675
781637,6889632
781733,6889926
781712,6889967
781747,6889684
781626,6889708
781658,6889643
781686,6889669
781548,6889877
781539,6889852
781382,6889581
781465,6889622
781364,6889640
781317,6889611
781299,6889565
781359,6889583
781561,6889748
781586,6889568
781598,6889661
781678,6889661
781630,6889642
781444,6889589
781458,6889571
781432,6889707
781437,6889804
781460,6889757
781423,6889796
781235,6889560
781256,6889545
781429,6889737
781432,6889556
781442,6889665
781270,6889558
781411,6889683
781384,6889703
781410,6889548
781414,6889584
781413,6889742
781437,6889771
781390,6889670
781366,6889685
789322,6888839
789465,6888785
789520,6888856
789414,6888794
789646,6888748
789658,6888702
789384,6888780
789397,6888688
789491,6888879
789212,6888981
789442,6888675
789365,6888916
789539,6888794
789494,6888707
789502,6888763
789388,6888867
789434,6888981
789216,6889001
789438,6888733
789427,6888895
789292,6888949
789476,6888771
789308,6888959
789456,6888937
789372,6888822
789343,6888800
789355,6888702
789276,6888756
789476,6888750
789436,6888773
789466,6888870
789371,6888890
789422,6888698
789301,6888921
789465,6888698
789333,6888882
789261,6888989
789364,6888680
789260,6889011
789173,6889051
789396,6888976
789593,6888719
789420,6888818
789406,6888830
789470,6888923
789257,6888933
789448,6888825
786289,6888729
786176,6888977
786045,6889140
786243,6888684
789533,6889019
789283,6888714
789362,6888979
789493,6888647
789465,6888665
789440,6888847
789271,6888787
789506,6888962
789272,6888805
781591,6889528
781649,6889428
781727,6889390
781694,6889413
781740,6889373
781660,6889336
781682,6889319
781665,6889313
781744,6889352
781746,6889288
781495,6889504
781644,6889536
782561,6888909
783694,6889056
784958,6888945
786145,6889230
781695,6889365
781725,6889278
781574,6889528
781741,6889326
781509,6889475
781482,6889500
781653,6889405
781627,6889370
781622,6889400
781561,6889508
781622,6889425
781685,6889293
781578,6889386
781479,6889457
781586,6889431
781589,6889475
781545,6889498
781698,6889344
781496,6889423
781756,6889312
781534,6889353
781526,6889487
781693,6889384
781550,6889457
781554,6889331
781503,6889438
781527,6889444
781477,6889482
781654,6889382
781658,6889359
781706,6889280
781393,6889471
781245,6889519
781167,6889418
781074,6889485
781370,6889403
781366,6889424
781459,6889466
781428,6889426
781454,6889525
781304,6889510
781224,6889473
781252,6889504
780487,6888924
780500,6888791
781274,6889532
789464,6888623
789483,6888500
789458,6888585
789465,6888644
789703,6888408
789650,6888395
789644,6888641
789514,6888553
789503,6888618
789472,6888522
789483,6888547
789511,6888599
789514,6888495
789514,6888515
789402,6888398
789529,6888413
789510,6888581
789593,6888499
789450,6888329
784582,6888415
783920,6888342
785208,6887941
785651,6888133
787127,6888003
789377,6888517
789439,6888446
789479,6888610
789488,6888481
780672,6888564
780799,6888582
780717,6888578
780680,6888533
780645,6888343
780644,6888650
780654,6888397
780762,6888572
780661,6888420
780668,6888367
780672,6888334
782193,6888516
780633,6888412
780645,6888435
780707,6888293
780798,6888568
780789,6888049
780669,6888451
780751,6888596
780593,6888454
780566,6888437
780485,6888487
780581,6888367
780363,6888288
780512,6888425
780526,6888398
780563,6888550
780655,6888486
780516,6888389
780334,6888275
780408,6888368
780611,6888380
780278,6888281
780388,6888341
780389,6888395
780441,6888383
780446,6888448
780520,6888589
780472,6888358
780501,6888365
780346,6888173
780002,6888078
780586,6888472
780574,6888652
780524,6888447
780600,6888331
780373,6888261
780360,6888343
780389,6888487
780033,6887928
780591,6888567
780453,6888559
780288,6888611
780476,6888527
780375,6888507
780356,6888241
780546,6888422
780488,6888329
780617,6888422
780349,6888263
780631,6888386
780352,6888539
780431,6888475
780425,6888370
780384,6888410
780544,6888456
780565,6888622
780489,6888552
780608,6888397
780612,6888469
780580,6888494
780480,6888413
780455,6888395
780611,6888358
785787,6887259
785739,6887193
786118,6887215
786162,6887183
785797,6887117
785919,6887131
785835,6887178
785803,6887181
785757,6887182
785826,6887239
785689,6887109
785781,6887132
785997,6887147
785635,6887172
785566,6887311
785677,6887183
785714,6887189
785831,6887272
785940,6887169
785614,6887118
785563,6887097
785644,6887283
785701,6887175
785975,6887174
785752,6887118
785802,6887252
785902,6887210
786037,6887155
785823,6887087
785882,6887239
785865,6887077
785886,6887112
785838,6887228
785700,6887149
785672,6887205
786160,6887207
785915,6887196
785700,6887209
785672,6887293
785633,6887237
785595,6887145
785651,6887186
785767,6887106
785569,6887170
785743,6887241
785782,6887239
785728,6887200
785669,6887334
785854,6887293
785617,6887194
785670,6887316
785729,6887142
785928,6887184
785671,6887149
785474,6887260
785494,6887139
785308,6887285
785440,6887237
785392,6887080
785555,6887071
785647,6887203
785652,6887237
785531,6887096
785525,6887116
785285,6887326
785457,6887224
785512,6887299
785294,6887358
785470,6887396
785443,6887193
785499,6887408
785371,6887213
785502,6887438
785535,6887328
785459,6887582
784817,6887051
785518,6887274
785428,6887169
785466,6887294
785531,6887362
785405,6887142
785313,6887335
785374,6887081
785371,6887266
785367,6887119
783939,6887141
784187,6887100
784094,6887075
784229,6887119
784198,6887177
784158,6887195
784211,6887204
784133,6887161
784107,6887203
784153,6887096
785403,6887091
785490,6887457
785512,6887423
785523,6887391
784239,6887162
784299,6887134
784274,6887128
784252,6887123
784190,6887213
784312,6887157
783898,6887688
783932,6887336
783922,6887452
784172,6887222
784051,6887110
784086,6887155
784029,6887059
783974,6887198
784018,6887203
783923,6887191
783902,6887566
783947,6887480
783927,6887219
784210,6887114
784218,6887168
784070,6887058
784323,6887087
784007,6887084
784304,6887082
784350,6887057
784146,6887133
784115,6887131
784022,6887340
783993,6887154
784230,6887195
784016,6887300
784050,6887388
784110,6887116
784331,6887139
784268,6887163
784117,6887158
784179,6887188
784250,6887188
784221,6887057
784238,6887063
784267,6887607
784340,6887092
783967,6887321
784122,6887085
784279,6887076
783933,6887506
783907,6887227
783988,6887371
783967,6887540
783626,6887414
783794,6887083
783853,6887315
783471,6887745
783779,6887422
783768,6887130
783640,6887490
783589,6887161
783836,6887106
783703,6887329
784064,6887318
783622,6887209
783754,6887394
783565,6887719
783686,6887467
783813,6887252
783874,6887257
783880,6887285
783754,6887481
783900,6887395
783667,6887145
783795,6887430
783453,6887247
783422,6887273
783546,6887174
783435,6887216
783419,6887227
783548,6887211
783428,6887255
783692,6887286
783451,6887377
783647,6887411
783841,6887286
783593,6887552
783594,6887496
783585,6887615
783567,6887205
783651,6887552
783824,6887334
783831,6887408
783577,6887775
783878,6887513
783584,6887638
783671,6887578
783879,6887573
783602,6887631
783872,6887535
783845,6887625
783834,6887609
783833,6887585
783855,6887530
783521,6887150
783841,6887574
783862,6887127
783729,6887505
783721,6887471
783838,6887295
783877,6887357
783493,6887738
783488,6887203
783493,6887256
783511,6887268
783736,6887063
783836,6887371
783881,6887178
783674,6887198
783654,6887106
783835,6887559
783848,6887686
783696,6887210
783671,6887402
783800,6887498
783863,6887464
783672,6887563
783846,6887595
783841,6887269
783754,6887309
783464,6887212
783879,6887217
783846,6887400
783887,6887310
783662,6887535
783464,6887266
783331,6887297
783508,6887433
783796,6887181
783704,6887245
783865,6887061
782155,6887502
782448,6887180
783821,6887312
783877,6887086
783890,6887122
783595,6887565
783735,6887224
781751,6887503
781823,6887468
789488,6886190
789481,6886203
785905,6886882
785913,6887016
785933,6886998
785855,6886993
785750,6886939
785720,6886979
785653,6887003
785638,6887063
785628,6886794
785634,6886912
785585,6886844
785706,6887061
785593,6886979
785990,6886775
785882,6886767
785836,6886796
785854,6886841
785670,6887059
785694,6887003
786078,6886618
785891,6886487
785957,6886666
786122,6886685
786020,6886745
785924,6886758
786013,6886687
785997,6886708
785890,6886705
785938,6886702
785918,6886925
785899,6886990
785898,6886945
786021,6886868
785760,6886920
785795,6886934
785768,6887036
785996,6886911
785790,6886781
785760,6886993
785994,6886638
785988,6886854
785946,6886772
786013,6886883
785726,6886909
785861,6886772
785898,6886803
785949,6886867
785940,6886958
785610,6886961
785842,6886623
785838,6886273
785634,6886814
785602,6886807
785591,6886792
785567,6886967
785596,6887022
785542,6886839
785551,6886867
785569,6886808
786073,6886676
785917,6886654
786162,6886727
785943,6886638
786132,6886774
785798,6886892
785565,6886371
786044,6886630
785983,6886611
786109,6886612
785972,6886686
786204,6886688
786146,6886745
786177,6886658
786152,6886680
786082,6886726
786144,6886643
786060,6886656
785872,6886661
785930,6886675
786005,6886729
785664,6886929
785774,6886825
786180,6886927
785576,6886879
786063,6886788
786065,6886837
786038,6886813
786102,6886780
785772,6886759
785983,6886899
785869,6887041
785840,6886847
786029,6886676
785790,6886906
785722,6886957
786189,6886707
786150,6886665
786038,6886587
785638,6886743
786158,6886605
786106,6886745
786104,6886656
785976,6886811
786025,6886780
786115,6886762
785617,6886865
786032,6886797
786213,6886637
786042,6886666
785749,6886752
786075,6886819
786094,6886802
786061,6886761
785952,6886797
785905,6886822
785966,6886929
786102,6886709
785154,6886959
785160,6886978
785553,6886973
785927,6886969
785550,6886819
785607,6886888
785899,6886635
785665,6886994
785506,6886873
785318,6886912
784842,6887035
785343,6886966
785479,6886893
785343,6886912
785500,6886918
785524,6886863
785523,6886847
785383,6886992
785483,6886947
785335,6887062
785348,6886938
785265,6886995
785388,6886949
785460,6887036
784846,6887020
785083,6886867
785518,6886901
784386,6886916
784296,6886940
784401,6886899
784381,6886868
784307,6886915
784341,6886891
784429,6886923
784352,6886938
784403,6886991
784185,6887049
784203,6887053
784315,6887049
785478,6886906
784079,6886750
784055,6886699
784062,6887020
784032,6886992
783981,6886983
784080,6886782
784370,6886988
784407,6886865
784400,6886813
784218,6886947
784246,6886954
784374,6886831
784344,6886850
784296,6886879
784359,6886842
784164,6886934
784240,6887027
784325,6887025
783918,6887023
784036,6886960
784143,6887038
784357,6887021
784095,6886924
784256,6886993
784130,6886961
784036,6887019
784314,6886961
784230,6886995
784019,6887017
784329,6886700
784128,6886924
784223,6887020
784096,6886849
784146,6887004
784163,6887041
784287,6887035
784127,6886985
784082,6886881
784193,6886940
783964,6887052
784420,6886975
784056,6886873
784310,6886867
784337,6886947
784428,6886937
784364,6886928
784158,6886971
784269,6886915
784451,6886821
784074,6886726
784035,6886946
783999,6887008
784078,6886922
784330,6886903
784010,6887001
784093,6886787
784362,6886879
784448,6886853
784381,6886965
784416,6886948
784263,6886932
784213,6886982
784206,6887018
784438,6886896
784324,6886860
784394,6887026
784178,6886998
784290,6887014
783501,6886807
783565,6887040
783571,6887015
783478,6886802
783645,6886935
783621,6886967
783690,6886908
783830,6887059
783506,6886948
783894,6887041
783552,6886911
784103,6887017
784353,6887040
783707,6886719
783722,6887078
783549,6886769
783600,6886747
783598,6886775
783645,6886710
783883,6887028
783830,6886931
783547,6887008
783691,6886736
783773,6886712
783649,6886961
783581,6887035
783619,6886951
783521,6886797
783515,6886879
783455,6886811
783659,6886905
783639,6887050
